文章总数: 11 篇
==============================

1. 微信公众号 -  (广西壮族自治区人民政府关于印发《广西壮族自治区国土空间规划(2021—2035年)》的通知(桂政发〔2024〕4号)) 2024-09-10 维稳咨讯指南   维稳咨讯指南

-----------------------------------------------------------------------------

文字快照 :http://mp.weixin.qq.com/s?__biz=MzA4MDg1ODY1Mg==&mid=2247495943&idx=3&sn=e0014507677e11db14d5f98db6425952

各市、县人民政府,自治区人民政府各组成部门、各直属机构: 

《广西壮族自治区国土空间规划(2021—2035年)》已经国务院批复同意,现印发给你们,请认真组织实施。 

广西壮族自治区人民政府 

2024年2月2日 

(此文有删减) 

广西壮族自治区国土空间规划 

(2021—2035年) 

目  录 

   广东省 

   海洋经济发展的新亮点!“伏羲一号”正式投产,产值可达5400万元。 

         山东省东营市: 

         池塘循环流水圈养模式,实现“跑道”养鱼,让鱼儿进行“有氧健身”,养出来没有土腥味。 

云南普洱市镇沅县九甲镇:利用天然山泉水养殖冷水鱼,打造虹鳟鱼、中华鲟养殖项目,年产量将突破10万公斤。 

          陕西省安康市岚皋县: 

          全力打造“鲟鱼之乡”,商品鲟鱼产量超过100万公斤,渔业经济总产值达1.4亿元。 

          湖北随州市广水市郝店镇: 

          “90后”小伙当起乡村合伙人,小鳝鱼孕育大产业,实现经营收入2.15亿元。 

         山东省微山县: 

         推广“按揭渔业”1.5万亩,为养殖企业和养殖户发放贷款7500万元。 

       价格周报 

       草鱼: 

       本周全国草鱼塘口均价为6.2元/斤,环比+0.4%,同比+7%。 

鲫鱼:本周全国鲫鱼塘口均价为9.7元/斤,环比-0.5%,同比+24%。本周价格稳中偏弱。 

鲤鱼:本周全国鲤鱼塘口均价为6元/斤,环比-1%,同比+7%。本周价格小幅下跌。 

罗非鱼:本周全国罗非鱼塘口均价为5.6元/斤,环比+1.7%,同比+14%。 

斑点叉尾鮰:本周全国斑点叉尾鮰塘口均价为6.6元/斤,环比-1.5%,同比-14%。 

生鱼:本周全国生鱼塘口均价为9.3元/斤,环比-1.1%,同比+7%。本周价格小幅下跌。 

黄颡鱼:本周全国黄颡鱼塘口均价为15元/斤,环比-1.1%,同比+33%。 

加州鲈鱼:本周全国加州鲈鱼塘口均价为19元/斤,环比+0%,同比+21%。 

牛蛙:本周全国牛蛙塘口均价为6.2元/斤,环比+0%,同比+2%。 

黑斑蛙:本周全国黑斑蛙塘口均价为9.5元/斤,环比-5%,同比-27%。 

南美白对虾:本周全国南美白对虾塘口均价为20元/斤,环比-6.6%,同比-2%。 

小龙虾:本周全国小龙虾塘口均价为21.6元/斤,环比+4.2%,同比+41%。 

       天气预报 

       【 

       最强秋台风也没能赶走“秋老虎”, 

       南方高温继续“暴走” 

       】 

据中央气象台中期预报,未来10天,南海和西北太平洋将有1-2个台风生成,可能对我国沿海地区产生影响。北方由于多短波槽活动,冷空气和副热带高压外围偏南风汇合,降雨天气频繁。 

今夜起至10日,北方地区又将迎来一次降水降温天气过程,西北地区中东部、东北、华北等地将有小到中雨,部分地区有大到暴雨,局地降温8℃左右。 

    金渔奖特别报道 

    部分素材来源于网络,如有侵权,请联系删除。 

           转载声明 

本文为“金渔奖”独家稿件,未获许可转载,一律按侵权追究! 

品牌赞助,采访需求,媒介服务,请添加品牌专员微信:jinyujiang0701 

商务合作请致电品牌总监:13939000293 

        ▼ 

        精彩案例 

        ▼ 

文章编号: b1a8b114f4a8441014b284de731b157a
-----------------------------------------------------------------------------

4. 微信公众号 -  (湛江开机 | 2024山海计划短片《我看见了一只人鱼》) 2024-09-08 山海计划MARITIME GUANGDONG   山海计划MARITIME GUANGDONG

-----------------------------------------------------------------------------

文字快照 :http://mp.weixin.qq.com/s?__biz=MzkxNDUxMzkwOQ==&mid=2247495079&idx=1&sn=a7a8b71e8e0c9c7c6790289c961a7c9b

9月7日,2024“向山海走去”青年导演创作扶持计划(简称山海计划)短片《我看见了一只人鱼》在广东省湛江市开机。

《我看见了一只人鱼》(原名《鱼美人》)概念海报 

《我看见了一只人鱼》从海与人的故事切入,围绕着对亦真亦假的问题“你见过人鱼吗”的寻访展开。短片影像将自由穿梭在陆地与海洋,村镇与人群之间,以及历史和当下的缝隙里。 

你见过人鱼吗?导演王鹏为与金添将短片设计为不定性的实验影像和活动叙事,将在南海之滨湛江全境展开游走拍摄。创作者们将从沿海到内陆,流动在城市街景、码头鱼市、人文古村,全方位重新侧写岭南古老与现代的奇特风貌,呈现当地真实而亲切、神秘而生动的风土人文、民俗异闻。 

《我看见了一只人鱼》剧组出海拍摄 

据悉,从赤坎老街的古青石板,到徐闻古港的千帆之下,面具石狗间流传的吟唱,亦或深水潜游的海中魅影,都将在短片影像中呈现。王鹏为说:“我们想用全新的眼睛,去看一眼有关于南粤的那些见过的、听过的、没有见过、没有听过的东西。” 

早在8月中旬,《我看见了一只人鱼》剧组已前往湛江采风,拍摄中华白海豚。中华白海豚是国家一级保护野生动物,被誉为“海上大熊猫”,全球数量仅约6000头。它是片中的重要意象,将贯穿始终。值得一提的是,拍摄地湛江雷州湾海域拥有近千头中华白海豚。王鹏为说:“我有幸能出海看见和拍摄到了中华白海豚。” 

正式拍摄前是什么心情?金添介绍:“我的好友兼这部片的摄影师林秉翰力荐其家乡那些神奇独特的岭南文化。演员王耀德也带我们走访他的家乡雷州湾一带,拍摄和记录了非遗传承的广东木偶戏和石狗。我和团队已经在湛江待了快一个月,完全融入了这里的文化、生活,可以光着膀子、穿着拖鞋、骑着小电动在雨里跑一天了。” 

《我看见了一只人鱼》导演王鹏为(左)、金添在湛江街头 

值得一提的是,本片的核心主创全是学院派“海归”:导演、编剧王鹏为毕业于查普曼电影学院导演系,另一位导演、编剧金添毕业于纽约电影学院电影制作导演专业,制片人赵哲源本科毕业于纽约电影学院电影制作专业,研究生毕业于伦敦大学金史密斯学院制片专业。主演是唐映枫,《理想三旬》的词作者、一个标准的“斜杠青年”——音乐制作人、词人、导演、编剧。 

在拍摄过程中,《我看见了一只人鱼》得到了湛江市委宣传部、湛江市文化广电旅游体育局的大力支持。湛江阿妹胜凤春木偶戏团、湛江麻章区太平镇北山村、演员王耀德等为剧组提供了拍摄帮助。DZOFILM、爱图仕、DEITY谛听、DJI Pro、TILTA铁头、拍片保、枯鱼肆音乐工作室等行业伙伴分别为影片提供了拍摄设备和技术服务等支持。 

文字丨龚卫锋

图片丨剧组提供

编辑|蔡淳淳

审核|吕楠芳 

文章编号: 556846358e19fe8142f5a81d88c6a5b1
-----------------------------------------------------------------------------

5. 微信公众号 -  (近期1-4天线路（持续更新中...）) 2024-09-08 佛山天外天国旅   佛山天外天国旅

-----------------------------------------------------------------------------

文字快照 :http://mp.weixin.qq.com/s?__biz=MzI3NTYwODc2Nw==&mid=2247559092&idx=3&sn=2067a96ebbe5a94abe0546ab8a27e744

出发日期:9月18/22/26/30日

住在景区里·天露山度假区纯玩二天

299元/人(升级无忧穀+60元/人)

佛手拈花、网红摇摆桥、泡半山温泉

欢乐秋夜--佤族民族舞蹈及篝火晚会

国家AAA级景区-千年唐风古城

酒店自助早+烧鸡宴

‼求力推‼求力推‼

#广东第一峰温泉度假村#高山温泉#森林峡谷·氧吧瀑布

9月18日,已收12人

价格:388元/人

大自然赋予的恩赐,在天水合一,天山相映情形下《小洱海:桃花湖》

探索·悬于山头·天泉瀑布|如银河落九天·四周绝壁奇石

森林峡谷·氧吧瀑布|穿越---爱情栈道|520级一步一灯光、月老树下许心愿

走进阳山【第一峰·温泉度假村】打卡·抖音“南岭”之首;原生态100%真温泉..

9月14日,已收16人,求力推

9月20日,已收12人,求力推

#两广联游

🏊湛江、北海十里银滩联游四天

488元/人(中秋、周六不加收)

❤【十里银滩】观潮听海、逐浪拾贝。

‍🔥【侨港镇】“中国最小镇”唐人街享侨港风味!

❤【流下村】打卡北海文青“圣地”网红地点

‍🔥【北海老街】漫步中英风格百年老街!

❤【南海旅游岛】华侨城集团500亿打造天然浴场!

9月18日,已收16人,求力推

#新品5☆东莞塘厦观澜湖酒店海鲜、烤肉自助晚纯玩二天

499元/人(周六不加收)

住国家5A景区、世界第一大高尔夫球会里

大梅沙-翡翠海+细软沙滩节度假感拉满

酒店室外泳池、酒店健身房、高尔夫练习场

赠游:酒店迷你动物园、植物园、3D美术馆

3餐:自助早+烤肉、海鲜自助晚餐酒水任饮

新排期:9月13日,铁发,余位足,求力推

9月19日,已上客,求力推

【沙滩+温泉】台山康桥温泉酒店纯玩二天

299元/人(周六+60元)

倾听海浪·偶遇白海豚·浪漫海角城沙滩浴场(含票)

梅家大院、蓝色海洋村、广海渔人码头

摄影基地、室内缤纷温泉水乐园、泡养生温泉

中西式自助早+鲍鱼海鲜面

9月12日,欠14人成团,求力推

9月15日,已收14人,求力推

9月17日,已收10人,求力推

#9月潮汕纯玩三天

深度精品游—汕尾金町湾、潮汕南澳三天

499元/人(周六同价、中秋节+40元)

升级入住一晚南澳岛青澳湾近海酒店

留足时间漫游南澳岛看日出日落

深度游千年潮州—广济桥、潮州古城

解锁潮汕美食-吃足“10餐

打卡广东小“马尔代夫”金町湾

9月11日,欠10人成团,求力推

9月15日,欠12人成团,求力推

#9月新品*深中世纪通道、南沙湿地、十九涌一天

139元/人

首创10项“世界之最”全球最高的跨海大桥

了解巧克力制作、赏N+种类巧克力成品

国家AAAA级旅游景区--南沙滨海湿地

👑9月21日西溪温泉+连南金瑶峰大酒店3天,铁发,余位足

👑 9月22日西溪温泉+广宁2天,铁发,余位足

599元起/人

世界粤菜厨皇会会长、凤悦行政总厨——顺德潮哥带队出发

🏞一起去贺州西溪温泉叹世界、品美食

🌾初秋欧家梯田,满目金黄

🏡探访世界最大、最古老瑶村之一油岭瑶寨

🌿登观竹楼感受广宁竹海的浩瀚

🏨五星奢享,森林温泉泡不停🛁

🍳厨皇之夜,潮哥献技,情歌环绕🎵

🌟仅此一期,位置有限,快来报名!

9月25日,铁发,余位10,求力推

#9月初秋🍁西溪森林温泉游

西溪温泉度假邨入住全新悦泉居酒店三天

899元/人

连住2晚悦泉居带泡池房不挪窝

食足4餐,丰富自助早+西溪特色农家菜品质有保障

超级大氧吧湿地公园,养生度假休闲游

过百温泉池开放,拒绝下饺子式度假!

山泉水水上乐园清凉一夏

9月13日,已收16人,求力推

9月17日,已收14人,求力推

9月18日,已收12人,求力推

9月25日,已报多人,求力推

#9月初秋🍁西溪森林温泉游

贺州西溪入住悦泉居纯玩二天

499元/人

尊享酒店自助早餐 + 1餐农家风味宴

游无限次得天独厚森林真温泉

畅游百米无边际泳池+湿地公园

坐网红玻璃电梯体验上顶无边际温泉泡池

9月14日(非观景),欠6人成团,求力推

9月25日(非观景),已收12人,求力推

#9月初秋🍁西溪森林温泉游

贺州西溪温泉度假邨住新酒店纯玩二天

💰579元/人(观景+20元)

9月11日(观景)

9月14、25日(非观景)

豪住新酒店A/B栋双人房,享独立私家泡池。

尽享:畅游山顶无边际温泉池+无限次清凉山泉泳池

美食:酒店自助早餐 + 丰富自助晚餐

9月西溪客栈,急推

9月14日,欠12人成团,求力推

9月15日,已收18人,求力推

9月20日,欠12人成团,求力推

9月23日,欠6人成团,求力推

9月25日,已报多人,求力推

#9月初秋🍁西溪森林温泉游

贺州西溪入住客栈纯玩二天

439元/人(15号+50元)

尊享酒店自助早餐 + 1餐农家风味宴

游无限次得天独厚森林真温泉

畅玩山泉水泳池+湿地公园

坐网红玻璃电梯体验上顶无边际温泉泡池

9月西溪客栈,急推

9月21日,欠12人成团,求力推

9月最后1期!周六出发!

珠海长隆马戏酒店纯玩二天

999元/人

住进马戏城堡,化身公主王子

珠海长隆海洋王国两天多次游玩

金奖打卡点·长隆秀上演金奖大秀

一站式遛娃圣地、探万千珍稀海洋动物

烟花汇演--海洋保卫战,享受浪漫美好的夜晚

本周日铁发!急收!求推!

9月19日,欠8人成团,求力推

9月22日,切位,暂满

9月26日,已上客,求力推

#9月嗨玩英德

🍁英德宝墩湖畅玩温泉+泳道、食足5餐住别墅纯玩2天

399元/人

食足5餐,从早吃到晚!

入住英德宝墩湖度假村别墅房

任泡温泉、畅游超长户外泳道

闲逛英德浈阳坊复古火车小镇、漫步茶趣园闻香品茶

赏十里小桂林光影威尼斯+彩虹楼梯+8000平户外草坪

本周日铁发!急收!求推!

9月12日,欠6人成团,求力推

9月23日,已收16人,求力推

#玩的是情怀#住的也是情怀#老广经典游

白天鹅宾馆、珠江夜游纯玩二天

699元/人

❤网红有轨电车 探寻黄埔古港

❤探访古建筑+岭南美食之旅·沙湾古镇,寻美食

❤船游珠江夜游赏璀璨珠江夜景、新地标--海心桥

❤奢叹酒店赠送的自助早餐(价值228元/位)+船上用餐

下周二铁发,急推

9月10日,铁发,余位足,求力推

9月14日,欠12人成团,求力推

9月17日,已报多人,求力推

#9月初秋🍁游山玩水三天

🍀惠州龙门南昆山三天

499元/人起(周六按照行程加收)

酒店2选1:

连住2晚【林丰温泉度假山庄】,体验60个真温泉池

暑期超嗨水上乐园、造浪池体验清凉盛夏!

全程食足6餐

or

连住2晚【柏祥森林度假酒店】

住在南昆山上,泡高山汤泉

畅游山泉水泳池、享天然大氧吧

9月13日,已收14人,求力推

9月14日,欠14人成团,求力推

#政府补贴免门票

🔥【两广联游】广西崇左德天瀑布、北海银滩、湛江四天

499元/人(中秋、周六不加价)

安排广西各县市最精华景点!

打卡【民国小镇】尽享民国文化气息

近距离观赏5A景点跨国德天大瀑布

 天下第一滩北海【十里银滩】安排足够时间游玩

 漫步中英风格百年历史老街【北海老街】!

 游广东斐济·明珠【特呈岛】

#一脚跨2省#秋凉·云冰山峡天下纯玩3天

399元/人(中秋、周六+50元)

9月11日,大量余位,求力推

9月16日,大量余位,求力推

9月18日,大量余位,求力推

9月24日,大量余位,求力推

9月28日,大量余位,求力推

一幅气势雄伟,奇特的天然竹林【十面埋伏·竹海】

一脚踏2省【云冰山】赏云海仙境、稀有苔藓、风车山

广东也有一个【小武隆】·阳山《峡天下》奇观

深入连南油岭瑶寨…了解瑶族文化

9月12日,已收18人,求力推

9月14日,欠14人成团,求力推

9月15日,已收18人,求力推

#9月新兴金水台酒店、悦天下泳道纯玩二天

399元/人(周六+50元)

酒店丰富自助早+丰富自助晚

全新翔顺金水台温泉豪华双床房(带阳台)

《狂飙》电视剧取景地·啔明里、陈皮村

真温泉--三料真温泉+莲花温泉

太阳岛水上乐园:高速滑梯、造浪池

9月12日,已收18人,求力推

9月15日,欠12人成团,求力推

#·新兴悦天下森林秘境别墅纯玩二天

399元/人(周六+100元)

6人同时报名升级3房别墅

吃:自助早+至尊冬瓜船烧鹅宴

住:悦天下度假区森林秘境别墅房

游:《狂飙》电视剧取景地·啔明里、陈皮村

泡:真温泉+畅游超长泳道

9月热门沙滩线路,急推

9月11日,铁发,余位4

9月12日,铁发,余位6

9月19日,铁发,余位2

9月22日,铁发,余位足

9月24日,已收14人,求力推

9月25日,已收14人,求力推

9月26日,已收16人

9月28日,铁发,余位足

海陵岛北洛秘境酒店自助晚纯玩二天

499元/人

酒店丰富自助早+海鲜自助晚餐+鹅乸饭

打卡高空临海天际泳池、北洛湾私属沙滩

探秘北洛秘境山体公园—悬崖泳池随心摆拍 

探寻北洛秘境网红半山悬崖泳池

9月10日,欠12人成团,求力推

9月15日,欠14人成团,求力推

#9月深中通道+沙滩线

🌊穿越“海上奇迹”深中通道、惠州大亚湾、吃自助餐二天

399元/人(中秋、周六同价)

广东“夏威夷”大亚湾玩沙冲浪

🏰入住西湖附近五星酒店,逛4A景点惠州西湖

🥘酒店东南亚海鲜自助餐,位上顶级小青龙!!!

🏞穿越“海上巨龙”深中通道

赠送品尝正宗客家豆腐花

9月23日,已收18人,求力推

🟡🟠|𝐎𝐫𝐚𝐧𝐠𝐞 𝐒𝐮𝐧𝐬𝐞𝐭

落日归山海,山海藏深意

#金海湾嘉华度假酒店12周年店庆

💘惠州巽寮湾入住超五星海边酒店吃丰富自助餐二天

599元/人【仅此一期!】

🌊【踏浪玩沙】巽寮湾尊享酒店私家沙滩

🎊【追逐自由】快艇出海观三岛,感受速度与激情

【精彩假期】玩转海边无边际泳池+山谷温泉任泡任游

🏝【尊享五星】入住金海湾嘉华感受奢华夜晚

😍【叹足美食】酒店丰富自助早餐+店庆主题自助晚餐+巽寮特色餐

9月11日,已收14人,求力推

9月15日,欠14人成团,求力推

9月18日,已收12人,求力推

#海边纯玩三天

🌈惠州巽寮湾、双月湾休闲三天

399元/人,周末/中秋不加价

连住2晚巽寮海边酒店

盐洲岛体验古法晒盐

登大星山观景台,沙滩赶海捕蟹

食足3餐,双自助早餐+巽寮特色餐

赠送体验海上皮划艇体验

----更多主推及铁发线路----

【本月特别推荐铁发线路!美食+温泉大型专特邀世界粤菜厨皇会会长、凤悦行政总厨一一顺德潮哥带队9月22日(周日)

599 元起/人,西溪温泉+广宁2天9月21日(周六)

899元/人,西溪温泉+连南金瑶峰大酒店3天

9月10日(周二)

[铁发线路]

499元,阳江海陵岛北洛秘境品自助海鲜晚餐二天,余位 4

499元,惠州南昆山柏祥温泉三天

529元,惠州南昆山林丰温泉三天

[主推线路]

399 元,清远哥弟酒店食3餐自助餐二天,欠6人成团

9月 11日(周三)

[铁发线路]

499元,阳江海陵岛北洛秘境品自助海鲜晚餐二天,余位6

【主推线路]

139元,深中世纪通道、南沙湿地、十九涌一天,欠10人成团

9月12日(周四)

[铁发线路]

499元,阳江海陵岛北洛秘境品自助海鲜晚餐二天,余位6

699元,珠江夜游住老广情怀白天鹅酒店二天

[主推线路]

299元,韶关丹霞山登云门山观景瀑布二天,欠14人成团

399 元,新兴畅游悦天下泡真温泉住金水台二天,欠6人成团

399元,新兴悦天下、住森林秘境别墅纯玩二天,欠6人成团

499元,潮汕南澳岛、游金町湾三天,欠14人成团

599 元,新兴国恩寺、住禅泉温泉酒店二天,欠8人成团

9月13日(周五)

[铁发线路]

299元,台山广海、海角城、住康桥温泉二天

9月14日(周六)

[主推线路]

399元,阳江海陵岛人妖表演北洛秘境二天,欠4人成团

439元,贺州西溪温泉住客栈二天,欠4人成团

579 元,贺州西溪、住新酒店二天,欠4人成团

439元,珠海长隆海洋王国、烟花汇演一天

399元,穿越深中世纪通道、赶海、住生态国际酒店二天

488元,广西崇左德天瀑布、北海银滩、湛江四天

499元,穿越深中通道、住东莞嘉辉会丽呈华庭酒店二天

399元,江门鹤山古劳水乡、寻美食住高山象窝汤泉二天

529 元,惠州南昆山柏祥温泉三天

579 元,惠州南昆山林丰温泉三天

9月15日(周日)

[主推线路]

139元,深中世纪通道南沙湿地十九涌一天,欠12人成团

399元,惠州巽寮湾3湾2岛纯玩三天,欠14人成团

259 元起,港珠澳大桥上蓝海豚岛一天

499 元,珠海长隆海洋王国、烟花汇演一天

299元,恩平帝都温泉、踏浪阳江珍珠湾二天

329元,清远连山欧家梯田、油岭瑶寨二天

399 元,新兴畅游悦天下泡真温泉、住金水台二天

399 元,新兴悦天下、住森林秘境别墅纯玩二天

399 元,惠州大亚湾、吃自助晚餐、住国际大酒店纯玩二

399元,穿越深中世纪通道、赶海、住生态国际酒店二天

459元,台山广海海角城、渔人码头、住颐和温泉二天

469 元,清远哥弟酒店食3餐自助餐二天

489 元,贺州西溪温泉住客栈二天

499元,湛江第一滩、特呈岛、信宜温德姆三天

519 元,穿越深中通道惠州巽寮湾、住屿海云天海景房二天

539 元,潮汕南澳岛、游金町湾三天

609 元,珠海长隆飞船乐园、游淇澳岛二天

9月16日(周一)

[主推线路】

499 元,珠海长隆海洋王国、烟花汇演一天

329 元,清远连山欧家梯田、油岭瑶寨二天

329元,英德赏百亩花海、住浈阳峡客栈、叹养生醴泉二天

388 元,河源板栗节、住准五星酒店品自助晚二天

399元,惠州大亚湾、住金缘国际大酒店纯玩二天

399 元,穿越深中世纪通道、赶海、住生态国际酒店二天

449 元,湘粤三市大环游·竹海、云冰山、峡天下纯玩三天

469元,台山上川岛、品美食二天

499元,台山下川岛、品美食二天

519 元,穿越深中通惠州巽寮湾、住屿海云天海景房二天

9月17日(周二)

[主推线路】

499元,贺州西溪温泉、住悦泉居带泡池二天

499 元,珠海长隆海洋王国、烟花汇演一天

399元,清远哥弟酒店食3餐自助餐二天

399元,台山广海海角城、渔人码头、住颐和温泉二天

499元,穿越深中通道、住东莞嘉辉会丽呈华庭酒店二天

499 元,潮汕南澳岛、游金町湾三天

499元,惠州南昆山柏祥温泉三天

529 元,惠州南昆山林丰温泉三天

599元,阳江闸坡大角湾、人妖表演、新兴翔顺龙山三天

想收到最新旅游出行信息,马上点击下方“佛山天外天国旅”公众号关注我们吧!!

谢谢您  这么好看还关注我们!!

文章编号: 8034963bfa63481ae004148475222bd9
-----------------------------------------------------------------------------

6. 微信公众号 -  (随记| 被除名的台风) 2024-09-07 文学疯人院   文学疯人院

-----------------------------------------------------------------------------

文字快照 :http://mp.weixin.qq.com/s?__biz=MzI5NzMwNjUzNA==&mid=2247490616&idx=1&sn=d69dda856e9387094343098693fbe157

2024.9.7周六 

甲辰年八月初五 

台风 

随记| 被除名的台风 

台风“摩羯”分别在海南文昌,湛江徐闻和越南广宁省3次登陆,且强度很大,17级以上的超强台风,破坏力巨大。很有可能,“摩羯”也会被台风除名了。 

兜兜很好奇,台风的名字是谁取的? 

我查了一下资料,如下:世界气象组织所属亚太地区的14个成员国或地区(柬埔寨、中国、朝鲜、中国香港、日本、老挝、中国澳门、马来西亚、密克罗尼西亚、菲律宾、韩国、泰国、美国以及越南)各提供10个名字,形成一张西北太平洋和南海热带气旋命名表,循环使用,于2000年1月1日正式啔用。 

由于国家和地区众多,每个地方的喜好及风格都不一样,取的名字也是五花八门。中国喜欢以神话命名,如“悟空”“电母”“海神”“风神”等。而有的地区喜欢取水果名,比如“山猫”“山竹”“核桃”,还有喜欢取动物名称的,比如“海燕”“天鸽”“白鹿”“青马”“白海豚”“蝎虎”“鸿雁”“小熊”等。 

那么,什么样的台风会被除名?造成严重灾害的,受灾国或地区可以提出申请将其除名,以避免提起该台风时引起混淆。 

之前我们熟悉的一些台风,比如“威马逊”“天鸽”“彩虹”“山竹”“海燕”,都因其巨大的破坏力被出名了。这有点像一个班级,太调皮捣蛋,总爱搞破坏的小孩,被开除了一般。 

我猜想,还有另一种含义,如果亲身经历过超级台风,感受过那种破坏力的人,一提到那个台风的名字,脑子里会自动浮现当时的画面,甚至身体都有一些恐惧的反应。比如2018年登陆湛江的“彩虹”,造成我们一周的断水锻炼,并且海水倒灌,楼道被淹。而更为普遍的是,很多楼房的玻璃窗被吹得爆开,碎玻璃碴子落了满地,非常危险。 

台风“彩虹”是我在湛江生活十几年所经历的最具破坏性的台风。提起“彩虹”,人们总能绘声绘色描述当时的场景。如果“彩虹”不被除名的话,下一次又来,估计一个“彩虹”,很多人都会心里怕怕。 

不管怎么样,希望这次“摩羯”造成的破坏力能小一些,人们都能平安健康,财产尽可能更少的损失。 

人的一世,要经历多少大风大浪啊! 

【日更者昌】 

每日如学日历

2024年9月7日 

人不能没有思想,没有思想就容易陷入世俗享乐,得过且过,很难产生形而上的追求。 

雪漠 著《雪漠解密<黄帝内经>》第壹辑 

September 7, 2024 

One cannot live without thinking. Without thinking, one can easily lose oneself in worldly pleasure and lose all goals and dreams, and is unlikely to have aspirations for something beyond. 

Xue Mo 

文章编号: 4bc4fe0ed5387b00b5d934b27492fbe2
-----------------------------------------------------------------------------

7. 微信公众号 -  (突击队在广东基层还是太全面了→) 2024-09-07 中山大学团委   中山大学团委

-----------------------------------------------------------------------------

文字快照 :http://mp.weixin.qq.com/s?__biz=MzA5NjQzMTUxMA==&mid=2651503132&idx=1&sn=f548ac1e238d5de15a5a9f3fd0f589d0

响应“百千万工程”工程突击队行动

中大人一直在路上

快来和团团来看看

他们的风采吧！

“红色热土绿色希望”生态文明宣讲

暨环保科技下乡实践服务团

中山大学环境科学与工程学院于4月深入广东信宜，开展生态文化研习、环境治理交流及水环境管理实践，倡导跨区域生态合作，共谋绿色发展之道。7月转战广西贺州，通过校园宣讲、社区互动、环境调研与维护，践行环境学科使命。项目注重校地企合作，深入乡村，力促乡村振兴，为建设绿美广东、美丽乡村贡献智慧与力量。

团队在贺街青少年之家与义教孩子们的合影

附属第六医院

“中六善医行·茂名信宜情”服务队

为深入贯彻习近平新时代中国特色社会主义思想和党的二十大精神，中山大学附属第六医院精心策划了第四期“三下乡”帮扶活动，于广东省信宜市火热开展。本次活动由附属第六医院团委引领，集结临床多学科专家、青年医学骨干及硕博士研究生，旨在促进青年学子走出校园，深入基层，在实践中受教育、增才干、做贡献，为乡村振兴与健康中国建设贡献力量。

“百年校庆 青春有为 健康有我”乡村振兴活动团队合照

先进制造赋能黄江镇科技公园，

文创科普惠民生+先进制造学院

黄江镇科创强镇实践团

中山大学先进制造学院结合学院自身的专业特点，对科技展览进行优化，整合科技与艺术元素，希望帮助黄江镇科技公园提高科技馆的趣味性，丰富科技馆的活动，从多角度、多维度发挥基地科学文化传播作用，促进科普知识融入生活，培养市民群众创新思维，推动“科技文化强镇”，带领市民群众亲身感受本土创新技术成果。

先进制造学院实践团开展科普工作

中山大学管理学院

东城街道“笔绘东城”实践团

中山大学管理学院“智驭转型”暑期实践队于2024年7月16-18日成功举办“企业数字化新航向”调研活动，成果斐然。团队遍访8家标杆企业，涵盖校友创新、科技前沿及传统制造多个领域，深度剖析了它们在数字化转型浪潮中的实践与挑战。通过一对一访谈企业高层及跨部门调研，结合员工心声调研，精准把脉企业转型路上的技术桎梏、人才缺口与资金困境。同时，综合行业前沿报告、政策导向与学术洞见，团队展望了企业数字化转型的未来图景，特别是AI、大数据、云计算等技术如何引领产业向智能化、绿色化加速迈进，为企业的可持续发展提供了宝贵参考。

实践团在调研企业的合影

匠心筑梦：百匠园非遗工坊

推动城乡融合发展的新模式

团队深入百匠园，调研后提供宝贵报告与改进建议，助力提升园区经济效益与社会效益。团队融合文化创意，打造非遗新IP，为传承人与村民创收。同时，利用新媒体宣传，扩大百匠园影响力，成为广州近郊热门旅游区。更归纳经营模式，探索非遗与城乡融合之路，为非遗保护与城乡发展提供范例。

“好拾光”哲思进社区

广州市赤岗街道实践团

中山大学哲学系瞄准社区居民哲学及相关文化需求，搭建文化共学平台，面向赤岗街道居民群体定期开展哲学观影分享会、国学小课堂以及“携手共学”智能手机培训，满足赤岗街道居民群体多样的精神文化需求，促进中国优秀传统文化的传承发展。

小朋友们在志愿者哥哥姐姐们的帮助下完成了画作

城市标识品质提升志愿行动

中山大学外国语学院“规范城市标识”实践团前往广州市越秀区开展8次城市标识品质提升活动，项目覆盖广州市越秀区北京街道、光塔街道、人民街道等6个街道。团队整合学院专业老师力量，邀请外国语学院詹成教授开展城市标识内容勘误培训；项目已完成7份勘误台账，共发现约200处翻译问题，在参照国家和地方标准，综合相关翻译专家意见后，提出超200条修改建议及论证说明性材料，移交政府部门，目前项目仍在进行中。

实践团同学拍下有误的路牌，保留更正依据

广州大学城20周年发展调研实践团

